,PLAYER_ID,BBallRefUrl,Url,Name,Season,Offensive Position,Defensive Position,Archetype
491,203901,http://www.basketball-reference.com/players/p/paytoel01.html,http://basketball.realgm.com/player/Elfrid-Payton/Summary/31736,Elfrid Payton,2017,Ball-Handler,Guard,Attacking BH
492,202407,http://www.basketball-reference.com/players/m/millsel01.html,http://basketball.realgm.com/player/Elijah-Millsap/Summary/8158,Elijah Millsap,2015,Wing,Forward,Slashing Wing
493,202407,http://www.basketball-reference.com/players/m/millsel01.html,http://basketball.realgm.com/player/Elijah-Millsap/Summary/8158,Elijah Millsap,2016,Wing,Guard,Slashing Wing
494,202343,http://www.basketball-reference.com/players/w/williel01.html,http://basketball.realgm.com/player/Elliot-Williams/Summary/2189,Elliot Williams,2014,Wing,Guard,Slashing Wing
495,202343,http://www.basketball-reference.com/players/w/williel01.html,http://basketball.realgm.com/player/Elliot-Williams/Summary/2189,Elliot Williams,2015,Wing,Guard,Shooting Wing
496,1882,http://www.basketball-reference.com/players/b/brandel01.html,http://basketball.realgm.com/player/Elton-Brand/Summary/544,Elton Brand,2014,Big,Interior,Shooting Big
497,1882,http://www.basketball-reference.com/players/b/brandel01.html,http://basketball.realgm.com/player/Elton-Brand/Summary/544,Elton Brand,2015,Big,Interior,Shooting Big
498,1626144,http://www.basketball-reference.com/players/m/mudiaem01.html,http://basketball.realgm.com/player/Emmanuel-Mudiay/Summary/24680,Emmanuel Mudiay,2016,Ball-Handler,Guard,Attacking BH
499,1626144,http://www.basketball-reference.com/players/m/mudiaem01.html,http://basketball.realgm.com/player/Emmanuel-Mudiay/Summary/24680,Emmanuel Mudiay,2017,Ball-Handler,Guard,Attacking BH
500,202683,http://www.basketball-reference.com/players/k/kanteen01.html,http://basketball.realgm.com/player/Enes-Kanter/Summary/9273,Enes Kanter,2014,Big,Interior,Go-To Big
501,202683,http://www.basketball-reference.com/players/k/kanteen01.html,http://basketball.realgm.com/player/Enes-Kanter/Summary/9273,Enes Kanter,2015,Big,Interior,Diving Big
